player_name,GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK
Shakira Austin,Shot Type Detail,Alley Oop Layup shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12,16,12,2,3,2,12,1,7,7,2,1,7,7
Shakira Austin,Shot Type Detail,Cutting Finger Roll Layup Shot,0,1,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12,12,12,2,3,2,12,1,7,7,2,1,7,7
Shakira Austin,Shot Type Detail,Cutting Layup Shot,5,8,0.625,0,0,0.0,0.625,1,1.0,0.0,0.0,0.0,1.0,0.0,1,1,3,2,3,2,3,25,1,7,2,1,1,7
Shakira Austin,Shot Type Detail,Driving Bank Hook Shot,1,1,1.0,0,0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,1.0,6,12,1,2,3,2,1,1,7,1,2,1,7,1
Shakira Austin,Shot Type Detail,Driving Finger Roll Layup Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12,16,12,2,3,2,12,1,7,7,2,1,7,7
Shakira Austin,Shot Type Detail,Driving Floating Bank Jump Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12,16,12,2,3,2,12,1,7,7,2,1,7,7
Grace Berger,Shot Type Detail,Cutting Layup Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,5,2,2,2,5,1,2,4,2,1,3,4
Grace Berger,Shot Type Detail,Driving Hook Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,5,2,2,2,5,1,2,4,2,1,3,4
Grace Berger,Shot Type Detail,Driving Layup Shot,1,1,1.0,0,0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,1.0,2,3,1,2,2,2,1,1,2,1,2,1,3,1
Shakira Austin,Shot Type Detail,Driving Floating Jump Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12,16,12,2,3,2,12,1,7,7,2,1,7,7
Grace Berger,Shot Type Detail,Fadeaway Jump Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,5,2,2,2,5,1,2,4,2,1,3,4
Laeticia Amihere,Shot Type Detail,Cutting Layup Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,2,1,1,1,2,1,1,2,1,1,1,2
Laeticia Amihere,Shot Type Detail,Driving Floating Bank Jump Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,2,1,1,1,2,1,1,2,1,1,1,2
Laeticia Amihere,Shot Type Detail,Driving Floating Jump Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,2,1,1,1,2,1,1,2,1,1,1,2
Shakira Austin,Shot Type Detail,Driving Layup Shot,3,7,0.429,0,0,0.0,0.429,1,1.0,0.0,0.0,0.0,1.0,0.0,3,3,7,2,3,2,8,25,1,7,2,1,1,7
